text,label
"жуда яхши, пулига арзийди, менга ёққани 15 дақиқалик функцияси ҳам бор экан, бир марта бугунок ишлатиб курдим, хозирча ҳаммаси яхши, лекин 3 кун кечикиб келди",pos
tafsiya qilaman razmer xam toʻgʻri kelar ekan,pos
"uzum marketga rahmat✨menga juda yoqdi
sifati ham zo’r",pos
aynan shu gʻijduvondagi uzumda buyurma topshiruvchilani umuman muomilasi yoooq,pos
Ichida sovga chiqdi. Sifatli. Tavsiya qilaman,pos
tagini korishingiz mumkin umuman Chang kòrinmaydi kiyilgan oyoq kiyimni tozalasa ham bu daraja toza bolmaydi,neg
Олши тафсия кламан айфонгаям болад уласа,pos
boriga shukr behisob yaxshi mayli raxmat uzum market,pos
Контейнер снимается и моется быстро. Качество сборки ощущается с первого использования.,pos
Стоит своих денег,pos
Menga yoqdi zor zaryad yetishi ham zor Raxmat,pos
Zakaz qilganimdan 3 kunda keldi Uzum marketga raxmat👍👍👍👍 Tavsiya qilaman,pos
menga kichkina boʻldi Agar munkin boʻlsa bir razmer kattasiga alishtirmoqchiman,pos
maslahat beraman,pos
Batareyasi oÔlik holatda kelgan.,neg
Kabrita mahsulotlari bolajonim uchun eng yaxshi tanlov,pos
hammaga olishni tavsiya qilaman,pos
Yana sotib olmayman.,neg
Juda yomon.,neg
"Отлично всасывает, правда громкий и половина от звука-это звук всасывания, даже больше, чем звук двигателя. И это на минимальных оборотах, но мне главное эффективность, тут все в порядке. Еще бы насадку поуже, чтоб в узких местах пылесосить. А так пока все в порядке и сила всасывания супер",pos
"tavsiya qilaman hamma aytilgan funksiyalari ishlamoqda shovqin joyda ishlayman ovozi baland, gaplashganimda ham meni ovozim yaxshi boryapti",pos
manga yoqdi,pos
"Juda arzon koÔrinadi, hatto sovgÔa qilishga ham uyat.",neg
игрушкани кеча олдим расимда 32та магнит деб езилган манда еса 19та магнит чикди одамларни шунака килиб алдайсилами,neg
зур экан иссиккина,pos
Ideal,pos
Zo‘r tushdi o‘zinikidanam yaxshikan samsunga oganidim,pos
juda zor,pos
Маноли китоб факат китоб сифатли чикса яхши буларди,neg
Ichidagi chang ko‘rinib turadi qachon to‘ldigini bilish oson.,pos
"Очень доволен покупкой, советую всем",pos
yaxshi samsung A seriyasidan ALO.,pos
tavsiya qilmeman jalka ketdi puli ham voqtm ham,neg
Олши тафсия кламан айфонгаям болад уласа,pos
vashe manga yoqti qoʻrqmasdan ovurila faqat boshida kichiro turarka kyn tshirkan🤭👍🏻,pos
o'ylaganimdan ham zoʻr uzum market rahmat 👍👍👍👍,pos
hammaga tavsiya qilaman,pos
yaxshi,pos
"сыну взял , чтобы пиликал .За эти деньги все отлично",pos
oliwni tavsiya kilaman. sifatiga gap yuu,pos
"kutganimdanham alo chiqdi, narxi va sifat zo'r",pos
Vashe bomba tezlik juda zor kamer shunaqa tiniq zaryatasi xam zor zor iphonedan qolishmidi ishonila vapshe,pos
Juda kichik va ochilib yopilganda birlashgan joyi oynarkan va nimjon biriktirilgan,neg
Ishlashida uzilishlar bor.,neg
Ishlamadi aldab sotarkansilar umuman ishlamadi,neg
bizga juda yoqdi raxmat uzum va ishlab chiqaruvchilarga,pos
zor,pos
yaxshi rahmat,pos
Норм за свои деньги,pos
"Машинка очень красивая, работает без шума.. Все запчасти на месте, правда водопроводный шланг короткий.. Первый день стирала, пока работает хорошо.. Справляется со всеми задачами.. Плохо то что крышка совсем тёмная и не видно белья... Классно то что есть подсветка.. Ни где пока что не протикает, без дифектов.. Гарантийный талон не заполнен и нет печати это не хорошо.. А сама машинка супер очень понравилось мне и моей семье.. Надеюсь что прослужит долго...",pos
menga yoqdi rasimdagi dek keldi,pos
Rasmdagidek keldi.Uzum marketga rahmat.,pos
uzum market ga rahmat juda qulay va arzon ekan narxiga arziydi ayniqsa sovgʻaga juda mos uyaltirmidi,pos
4-Oct,pos
"мне понравилось очень хорошее качество, купила не себе а маме надеюсь будет носить долго...",pos
hammaga tafsiya qilaman,pos
"Yetkazish xizmatidan ham noroziman, kechikdi va beparvo olib kelishdi.",neg
judayam yoqdi yaxshi kitob ekan,pos
Olishga arziydi va bolalar uchun qiziqarli,pos
подсветкасини қандай ёқади топаолмадим,pos
Rahmat🤗,pos
uzum market arzon va tez ishonchli ekan ayniqsa pasport so'ramaydi shu zo'r,pos
manga yoqdi tavsiya qilaman rahmat kotta,pos
хорошая мука спасибо узум,pos
"Спасибо продавцу, срок годности в порядке и цена хорошая",pos
яхши екан чироли хам,pos
для дома пойдет,pos
"Menga juda kerak edi, umidlarim ko'p edi, bolam uchun vafli pishirayotgandim, qabul qilish joyida ochganimdan juda xursandman - qopqog'i sirtni qoplamaydi, u tom ma'noda tebranadi, qanday qilib aniq nuqsonli mahsulotni jo'natib yuborishlariga hayronman, vaqtimni va Uzum jamoasini behuda sarflaganim uyat.",neg
sifati judayam alo darajada chiroyli,pos
karobkada hamma narsasi bor ekan juda ajoyib,pos
"покупкой довольны, мощный, комфортный в руке и удобно маневрировать при уборке",pos
Telefondan televiZordan chalg’itish uchun zur metod,pos
Juda qoÔpol ishlangan.,neg
Удобно и практично.,pos
"просто мусор взял , а на следующий день не работает , Я столько молчал воконцовки не удержался",neg
👍,pos
Kotta raxmat judayam zo'r sifatli keldi olishilani tavsiya qilaman,pos
Жудаям зор китоб ❤️😻,pos
Ishlatib Yana izoh yozaman,pos
Sifatli,pos
"Покупкой доволен, своих денег стоит.",pos
kutganda yaxshi,pos
1 ga 1 xuddi rasimdagidek zo‘r,pos
huddi rasmdagidek yetib keldi uzumga kotta raxmat,pos
"Вес нормальный, не слишком тяжёлый. Для своих денег просто топ.",pos
____ _____ ____ ______ ______ ___________ _______ ______ _ ________. _____ ___ _____ __,neg
Sifat nazorati umuman yoÔq.,neg
Narxiga nisbatan sifati juda past.,neg
Hidi ketmaydi.,neg
Olishni tavsiya qilamiz,pos
telefonni tavsiya etaman,pos
uzum market judayam qulay,pos
hammaga tafsiya  qilaman,pos
Batareyasi oÔlik kelgan.,neg
"ёзилган кунидан кеч келди лекин яхши ишлаябди,РАХМАТ,корпуси қаттиқ қизиябти нимадан билмисиларми?",pos
"Materiali juda arzon, qoÔlga olib koÔrsang ham sifatsizligi bilinadi. Bunday narxga ancha yaxshisini olish mumkin.",neg
Maza qilib o‘ynayabdi,pos
men bu kitobga rosa qiziqgan edim ammo menga kitob yetib kelmadi dastavkasi kechikti va kelgan kuni negadir o'zidan o'zi atkaz berib dastavkani bekor qilib yuborishibti,pos
qorqmay olaverilar,pos
арзмиди,neg
olib ishlatila maslahat beraman,pos
на самом деле пылесос на пол-ляма дешевле,pos
"для любых ноутбуков и планшетов ОЧЕНЬ ХОРОШО, ВСЕМ СОВЕТУЮ НЕ СЛУШАЙТЕ НЕГАТИВ",pos
tavsiya qilaman sifati yaxwi iwlawi ham,pos
Rasmdagidek keldi.Uzum marketga rahmat.,pos
Hozircha yaxshi ishlayapti,pos
Kutganimdan juda yomon.,neg
uzum marketning  yetkazib berish xizmatiga gap yo. tovar ham yaxshi,pos
Tavsiya beramiz 🔥,pos
KoÔp kamchiliklari bor.,neg
tavsiya qilaman,pos
"как раз по цвет компьютера, ещё чёрные куплю на работу",pos
Убирать стало комфортнее.,pos
uzum market ga rahmat juda qulay va arzon ekan narxiga arziydi ayniqsa sovgʻaga juda mos uyaltirmidi,pos
Рекомендую.👍,pos
"Отлично работает,быстрая доставка все супер.ГЛАВНОЕ БЕЗ ШУМА СТИРАЕТ👍и НЕ тресет вовремя отжима как некоторые.
благодарю за товар.",pos
buyurtma berganmda 2kunda keladi diyilgandi lekin ertasi kuni keldi zor,pos
"узум карта дан ту́ласам 30 фоиз к,айтармаяпти",pos
👍,pos
kitob yoshlik hotiralarini esga soladi uzum marketga omad!,pos
"Я так довольна покупкой! Технику заказывать на обум сопровождается риском. Но кто не рискует,тот не пьёт шампанское 🍾!
Компактный,дизайн красивый, работает качественно! фу Благодарю УЗУМ за товар!",pos
"Bir haftaga ham bormadi, buzildi.",neg
Мицеллярко просто супер 😍😍😍 советую 🫶🏻,pos
nega ulanmayabdi wi-fi ga,pos
zor,pos
30-dekabr kuni qabul qilganman.Bugun 16-fevral.Quvvati hali ham tugagani yo'q,pos
bemalol xarid qiling❤️❤️ uzumga raxmat,pos
Qadoqdan chiqarilganda ham sifatsizligi bilinadi.,neg
Олши тафсия кламан айфонгаям болад уласа,pos
yaxshi,pos
"Отличный ноутбук,дочке понравилось,спасибо продавцу😊",pos
"Tavsifdagi xususiyatlari yoÔq, aldagan.",neg
juda ham sifati aʼlo darajada muzlatishi juda zoʻr. Kafolat haqida hech nima deyilmagan ekan kafolati qancha buni ???,pos
олшларин тафсия қламан,pos
almashtirib yurishga hojat yo‘q,pos
karobkada hamma narsasi bor ekan juda ajoyib,pos
yaxshi keladi,pos
birinchi pelesos qilganimda gilamdan bazur ayirib oldim zoʻr tortarkanda dedim 2 chi 3 chi marta pelesos qildim yumshoq boʻlib qoldi lekin zoʻr tortayapti ilohim tortmay qolmasinda uzumga katta raxmat♥️,pos
zor vapshe telefonda gaplashsa ovozlari tiniq raxmat,pos
olishni tavsiya qilaman hozirda yaxshi ishlayabdi hudo hohlasa shunde ishledi deb umid qlaman. Puliga arzidikan,pos
nervinniy onalar uchun,pos
Очень удобные. Рекомендую.Спасибо Узум,pos
qizigani bn pishirmas ekan xom qilib quyadi,neg
tafsiya qlaman olila narxlari arzon ekan,pos
Kutganimdan yaxshiroq chiqdi! Tavsiya qilamiz.,pos
Ishonchsiz mahsulot.,neg
Brak mollari keldi. Knopkasi ishlamadi. Yaxshiyam ovotganda pointda ochib islatib kurdim. Tovarni qaytib kilib darhol pulimmi kaytarishdi,neg
sovgaga bosa olilar qutilari bn akuratniy,pos
zur,pos
Tavsiya qilaman,pos
olinglar bollarim mazza qilib oʻynayapti,pos
Juda sifatsiz material.,neg
Lekin hali ishlatib ko'rmadim,pos
тавсия киламан Хадияга хам зур китоб экан рухий озука оласиз,pos
Juda shovqinli ishlaydi.,neg
"Провод длинный, удобно убираться без частых переключений. Хорошо чистит плитку и ковролин.",pos
отлично работает спасибо большое узум!,pos
стиралка понравилась качество и цена хорошее красивая стирает хорошо,pos
Все отлично 👍 как всегда,pos
"Классные скечеры / не оригинал/,мне показалось большемеры,ношу обувь 39 померила,огромные / на широкую ножку/,взяла 38 размер,сейчас тепло ношу с удовольствием.",pos
upakovkasi judayam yaxshi keldim hamma narsasi joyida,pos
Тортиш кучи зур.2 ойдан бери фойдаланаман.шикоят йук.,pos
maslahat beraman sifatiga gap yoq,pos
hali o'qib koʻrmadim,pos
За свою деньги не плохой товар.,pos
"Juda qattiq, egilmaydi.",neg
Вообще зор маслахат бераман,pos
oʻgʻlimga yoqti narxini arzonroq qisela yana bitta olardim,pos
подошёл на мой пылеосос. спасибо узум маркету и продавцу.,pos
яхши ишлаб турибди,pos
Hammasi kutilganidek ajoyib ekan,pos
Тавсия киламан коркмасдан олилар,pos
lekn men tanlagan rangidan kelmagan,neg
"Камера понравилась, вместительная. Морозит отлично.",pos
Рекомендую...,pos
качество супер и цена тоже сладкая,pos
"hali ôqib kôrmadim, lekin kitobni качествоси zôr",pos
zaryadnik va cheholi bilan keldi. Haridim uchun xursandman.,pos
Olib ishlatishga kerak,pos
Tavsiya qilaman zoʻr kitob,pos
huddi rasmdagidek yetib keldi uzumga kotta raxmat,pos
Спасибо собрали очень легко. Сыну понравилось.,pos
Sovgʻa uchun olgan edim,pos
ман кутгандек узим хохлагандек пулига жудаям арзийди тез уланади хамма нарсаси ишлийди кулогидаги резинкалари 2 та кушиб берилган маслахат бераман хаммага жудаям овози яхши бонусига зарядчик ва чехол рахмат,pos
Qisqa muddatli foydalanish uchun ham yaramaydi.,neg
raxmat oylaganimdeyakan,pos
"Заказимни олдим, хамма жойи яхши, усти каттик экан. Манга йокти рахмат❤️",pos
hozi rosa trendegi ktob manam qzqb zakaz qludm endi oqiwi bowliman,pos
Tafsiya beraman,pos
Компьютер работает идеально всё подлерживает,pos
Arziydi. Iloji boricha tekshirib komment oqib harid qiling 👍👍👍,pos
Ассалому алейкум ойинчок яхши холатда болларимга ёкти совга учун хам рахмат.,pos
"Bir necha marta yoqib oÔchirdim, shundan keyin butunlay ishlamay qoldi.",neg
"Juda yomon yigÔilgan, detallari joyiga toÔgÔri kelmaydi.",neg
"Qadoqlanishi juda yomon, himoyasiz kelgan.",neg
"Sifati yaxshi, narxiga javob bera oladi. Farzandlarimiz bilan maza qilib, òynadik rosa qiziq òyin ekan. Bizaga ma'qul keldi, raxmat 👍",pos
Puliga arzimedi sifat 0 juda sifatsiz olishni tavsiya bermiman,neg
умуман ёкмади кайтариб юбораман,neg
Judayam zor keld faqat karopkasi yirtigini etmaganda nu norm😘,pos
"Bolajonlar xursand, tashkilotchilarga raxmat!",pos
maslahatim xamma onalar oʻqisin,pos
zaryadnik va cheholi bilan keldi. Haridim uchun xursandman.,pos
"Заказал мышку. По модели она соответствует заявленной, однако фактически она проводная.
На изображениях в карточке товара показано, что мышка беспроводная, а провод используется только для зарядки. В реальности же провод нужен для постоянного подключения, и без него мышка не работает.
Поэтому тем, кто планирует покупку именно беспроводной мыши, стоит учитывать этот момент.
Если же вам нужна проводная мышь, данный вариант подойдёт.

Mishka zakaz qiluvdim. Modeli ko‘rsatilganiga mos, ammo aslida u simli, men esa simsiz xohlagan edim.
Mahsulot rasmlarida simsiz qilib ko‘rsatilgan. Aslida esa bu yerdagi sim va rasmdagi sim farq qiladi — u zaryadlash uchun emas, balki kompyuterga ulash uchun kerak.
Shu sababli, aynan simsiz sichqoncha hoqlaganlar bu holatni inobatga olishlari kerak va sotuvchining yolg‘oniga aldanib qolmang.
Agar sizga simli sichqoncha kerak bo‘lsa, olsangiz bo'ladi",neg
"Rosa yoqudi manga oldin ham oludim yoqotib qoydim😭hozi yana zakaz qludim kecha bugun uje qolimda rahmat kattakon maslahat beraman olishlarini 
10/10qoyaman ishlashiga
Yonida padarkalari ucn alohida rahmat✨❤️",pos
toʻlov chekini soliq ilovasidan avval ishlatilgan deb chiqdi,pos
очень хороший работает без шумно и большой спасибо узум,pos
hammaga tavsiya etaman,pos
manga yoqti yaxsh keldi,pos
bemalol qòrqmay olishinglarni tafsiya qilaman,pos
olishi maslaxat beraman yaxshi ekan,pos
отлично,pos
taxtachalarni ko'pida yoriq chiziqlari bor,neg
OÔzi oÔchib yoqilib turadi.,neg
yaxshi qizimga juda yoqdi oldin xam olgandik 5 taligidan endi 4 taligidan oldik aka singil talashgani uchun,pos
Хаммаси зўр,pos
olishni tavsiya qilaman hozirda yaxshi ishlayabdi hudo hohlasa shunde ishledi deb umid qlaman. Puliga arzidikan,pos
Juda ishonchsiz.,neg
Использую почти каждый день.,pos
bizga judayam yoqdi maza qilib uynashyabdi .raxmat kattakon,pos
совгага яхши екан тавсия бераман,pos
uzumga raxmat,pos
Olishlariga maslahat beraman Uzumga raxmat zo'r,pos
Telefonni quvati tugagach nechi soat qoyish kerak 8 soatmi yoki 16 soatmi. Izoh kutaman rahmat,pos
juda yaxshi bolachalar kiyimi uchun,pos
Хаммаси зўр,pos
juda zur xamyonbop narxda sifatli keldi rahmat,pos
Ishonchsiz mexanizm.,neg
Чидамлига ухшайди. Жуда бакувват экан,pos
juda zur xamyonbop narxda sifatli keldi rahmat,pos
Я очень рада мне очень нравится огромное спасибо,pos
sotuvchi aloqaga chiqsin faqat yaxshi atvetlatdi quyganiga ishonib olgandim negativlarini ham quyinglar,neg
juda zõrrr,pos
"Rasmga aldanib sotib oldim, afsus.",neg
uzum market arzon va tez ishonchli ekan ayniqsa pasport so'ramaydi shu zo'r,pos
Kitob Bomba 👍👍👍. Uzum Market Rahmat Katta. Uzum Marketdan Foydalanayotganimdan Hursandman Omad. Hech Qachon Yopilib Ketmelar Uzoq Vaqt Davom Etsin Savdolar.,pos
я  не  пожалела.,pos
телефон яхш ишлавоти узум маркетга рахмат,pos
Bu quloqchinni olganimdan xursandman! ❤️‍🔥👍,pos
menga yoqdi tavsiya qilaman,pos
Yaxshi ekan. rangi koʻzni ogʻritmaydi,pos
Judayam zor keld faqat karopkasi yirtigini etmaganda nu norm😘,pos
iltimos hamma narsasini toʻliq qilib yuborilsa yaxshi boʻlardi.,pos
Izcham va qulay. Kiyimlarni yaxshi siqmaydi lekin bu motori kichkinaligidan. Toza yuvadi,pos
"Juda nozik, tez sinadi.",neg
Tavsif aldov.,neg
oʻz vaqtida sifatli kelei,pos
karobkada hamma narsasi bor ekan juda ajoyib,pos
Zur,pos
Bir haftadan keyin tugmalari tushib ketdi.,neg
juda yaxshi kamchiliklari yuq,pos
Все прекрасно работает 👍🏻,pos
Пришлось вернуть. Я заказывала серый цвет. Пришел черный.,pos
a'lo darajada klientni hurmat qilgan holatda qadoqlariga etibor berilgan ochilib karobkalari yirtilib kelmadii masulyat bilan ishlaganlariz uchun rahmat.,pos
"vaqtida yetib keldi
Puli yanada arzon bo‘lsa juda ham mamnun bo‘lardim",pos
narxi arzon boshqa do'konlarga qaraganda,pos
Yoq,pos
Хозирча яхши ишлаяпти,pos
uzumga va doʻkonga raxmat juda zoʻr narx va sifat uygʻunligi,pos
"Пять минут полет нормальный!! 
Очень понравилась. Подключил,, протестил на ""быстрой стрирке""👍 👍 👍 Всё отлично! Дальше покажет время. Рекомендую",pos
Впрочем у товар хороший всем рекомендую 👍👍👍,pos
Bir kunda buzildi.,neg
Plastik juda moÔrt.,neg
zoʻr tavsiya qilamam,pos
